SubNum_deid;AgeYrs;GenderID;Condition;SameSexBoyHair;SameSexBoyBall;SameSexBoyDress;SameSexBoyDoll;OppSexGirlHair;OppSexGirlBall;OppSexGirlDress;OppSexGirlDoll;SameSexGirlHair;SameSexGirlBall;SameSexGirlDress;SameSexGirlDoll;OppSexBoyHair;OppSexBoyBall;OppSexBoyDress;OppSexBoyDoll
94282;11;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1
98860;11;2;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0
94564;7;2;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1
97851;8;2;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1
96383;9;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1
92744;3;1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0
91549;11;1;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;1;1
90061;6;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1
91860;9;2;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1
98455;10;2;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0
99347;5;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
97701;9;1;3;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
97183;4;1;3;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1
99616;9;2;3;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1
95107;6;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
92506;5;1;3;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1
94295;6;1;3;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0
92899;7;2;3;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0
99011;11;1;3;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
99732;8;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
92881;5;1;3;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1
94540;4;1;3;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0
91339;4;1;3;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0
97788;6;1;3;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0
96584;8;1;3;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0
95552;7;1;3;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
94046;8;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
96868;5;1;3;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0
96286;4;1;3;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1
92113;9;1;3;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1
99574;7;1;3;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
92724;7;2;3;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
95676;7;2;3;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1
91506;5;2;3;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1
96415;8;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98099;9;1;3;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
94332;5;1;3;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0
95287;10;1;3;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0
91401;10;1;3;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0
99701;5;2;3;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1
99121;8;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98546;9;1;3;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0
99610;10;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
97888;8;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
95116;11;1;3;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
91052;9;2;3;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
90275;6;2;3;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1
95857;6;1;3;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0
94915;4;2;3;0;1;0;0;1;0;1;1;1;0;1;1;1;1;0;0
96460;7;1;3;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1
91084;7;1;3;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1
94661;8;2;2;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
96052;5;2;2;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1
98880;9;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
90098;5;2;2;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0
98846;10;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
95025;5;1;2;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0
98318;8;2;2;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1
93864;9;2;2;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
95518;7;1;2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
94469;7;2;2;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1
91123;7;2;2;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0
92117;6;2;2;0;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0
91175;4;2;2;1;0;1;1;1;0;1;1;1;0;1;1;0;1;0;0
96145;7;1;2;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1;1
97323;6;2;2;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
92790;7;2;2;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
94547;7;2;2;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
99784;7;2;2;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0
92579;7;1;2;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1
99263;5;2;2;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1
99656;9;1;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
96808;5;1;2;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0
98463;6;2;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
99416;6;2;2;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0
96551;9;2;2;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1
96004;6;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98758;7;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
90615;7;2;2;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0
94665;7;2;2;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0
96649;5;2;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
92406;5;2;2;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0
92050;11;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
91433;7;1;2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
93055;7;2;2;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1
97184;7;2;2;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0
93891;7;1;2;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;0
90339;5;2;2;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0
98548;7;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
90620;7;1;2;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0
94828;5;2;2;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
96997;11;1;2;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;1
92383;10;2;2;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;0
97369;8;2;2;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0
91887;7;2;2;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0
94770;7;2;2;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1
96276;6;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
95628;4;2;2;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
96210;10;2;2;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
94702;5;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98008;10;1;2;0;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1
90511;10;2;2;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1
99305;6;2;2;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;1
96344;5;2;2;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1
90148;11;1;2;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1
91231;4;2;2;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
93100;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94349;5;2;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
99116;7;1;2;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0
99004;6;2;2;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0
99399;8;2;2;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0
96990;10;2;2;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0
93715;10;1;2;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1
97107;9;2;2;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1
92700;8;2;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0
95087;5;2;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1
97565;10;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
90786;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
90509;10;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
95967;5;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0
93515;8;2;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1
98153;9;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
90882;7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1
96579;8;2;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1
91248;7;2;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0
